sample-id;sex;habitat;year;age;bird_id;seq_date
#q2:types;categorical;categorical;categorical;categorical;categorical;categorical
B4;M;forest;2018;3+;id001;_20190917
G11;M;forest;2018;3+;id001;_20190917
C9;M;forest;2019;3+;id002;_20190917
6_S6;M;ange;2018;3+;id003;_20200127
30_S30;M;ange;2018;3+;id004;_20200127
46_S46;M;ange;2019;3+;id005;_20200127
37_S37;F;forest;2018;3+;id006;_20200127
82_S82;F;forest;2019;3+;id007;_20200127
H8;F;forest;2019;3+;id007;_20190917
C3;M;forest;2018;20;id008;_20190917
C5;M;forest;2018;20;id008;_20190917
F12;M;forest;2018;20;id008_cont;_20190917
G7;F;ange;2019;3+;id009;_20190917
H9;F;forest;2019;3+;id010;_20190917
B11;F;forest;2018;3+;id011;_20190917
G4;F;forest;2018;3+;id011;_20190917
18_S18;M;ange;2018;3+;id012;_20200127
F1;M;ange;2018;3+;id012;_20190917
G2;F;ange;2018;3+;id013;_20190917
27_S27;F;forest;2018;3+;id014;_20200127
E3;M;ange;2018;3+;id015;_20190917
F3;M;ange;2018;3+;id015;_20190917
H3;F;forest;2018;20;id016;_20190917
7_S7;F;ange;2018;20;id017;_20200127
84_S84;M;ange;2018;20;id018;_20200127
F2;M;ange;2018;20;id018;_20190917
47_S47;F;forest;2019;3+;id019;_20200127
A11;F;ange;2018;3+;id020;_20190917
H4;F;ange;2018;3+;id020;_20190917
10_S10;M;forest;2018;3+;id021;_20200127
3_S3;M;forest;2018;3+;id022;_20200127
G8;F;forest;2019;3+;id023;_20190917
B1;M;forest;2018;3+;id024;_20190917
D4;M;ange;2018;3+;id025;_20190917
E11;M;ange;2018;3+;id025;_20190917
G1;M;pine;2018;3+;id026;_20190917
64_S64;M;ange;2019;20;id027;_20200127
D10;F;forest;2019;3+;id028;_20190917
D9;F;forest;2019;3+;id029;_20190917
34_S34;M;forest;2019;3+;id030;_20200127
16_S16;M;forest;2018;3+;id031;_20200127
H1;M;forest;2018;3+;id031;_20190917
A3;F;forest;2018;3+;id032;_20190917
4_S4;M;ange;2018;3+;id033;_20200127
31_S31;F;ange;2018;3+;id034;_20200127
43_S43;F;ange;2019;3+;id035;_20200127
C12;M;ange;2018;3+;id036;_20190917
F5;M;ange;2018;3+;id036;_20190917
14_S14;M;forest;2018;3+;id037;_20200127
C11;F;forest;2018;20;id038;_20190917
D3;F;forest;2018;20;id038_cont;_20190917
F4;F;forest;2018;20;id038;_20190917
2_S2;F;forest;2018;3+;id039;_20200127
17_S17;F;forest;2018;20;id040;_20200127
86_S86;M;forest;2018;20;id041;_20200127
H2;M;forest;2018;20;id041;_20190917
D5;M;ange;2018;20;id042;_20190917
E12;M;ange;2018;20;id042;_20190917
D1;M;pine;2018;3+;id043;_20190917
24_S24;M;forest;2018;20;id044;_20200127
20_S20;M;forest;2018;20;id045;_20200127
H7;M;forest;2019;3+;id045;_20190917
21_S21;F;forest;2018;20;id046;_20200127
1_S1;F;forest;2018;3+;id047;_20200127
25_S25;F;forest;2018;3+;id048;_20200127
40_S40;M;forest;2018;20;id049;_20200127
23_S23;M;forest;2018;20;id050;_20200127
C4;M;forest;2018;3+;id051;_20190917
F11;M;forest;2018;3+;id051;_20190917
E8;M;ange;2019;3+;id052;_20190917
26_S26;F;forest;2018;3+;id053;_20200127
32_S32;M;ange;2018;20;id054;_20200127
29_S29;F;forest;2018;20;id055;_20200127
28_S28;M;forest;2018;20;id056;_20200127
50_S50;F;ange;2019;20;id057;_20200127
C2;M;forest;2018;3+;id058;_20190917
9_S9;M;forest;2018;20;id059;_20200127
12_S12;M;forest;2018;20;id060;_20200127
36_S36;M;forest;2018;3+;id061;_20200127
96_S95;M;forest;2019;3+;id062;_20200127
A7;M;forest;2019;3+;id062;_20190917
15_S15;F;forest;2018;20;id063;_20200127
83_S83;F;forest;2019;3+;id064;_20200127
F9;F;forest;2019;3+;id064;_20190917
C1;M;ange;2018;3+;id065;_20190917
8_S8;M;forest;2018;20;id066;_20200127
54_S54;M;forest;2019;3+;id067;_20200127
69_S69;F;forest;2019;3+;id068;_20200127
B8;F;forest;2019;3+;id069;_20190917
38_S38;M;forest;2018;3+;id070;_20200127
79_S79;M;forest;2019;20;id071;_20200127
C8;M;forest;2019;20;id072;_20190917
49_S49;M;ange;2019;20;id073;_20200127
5_S5;F;ange;2018;3+;id074;_20200127
A4;M;forest;2018;20;id075;_20190917
H11;M;forest;2018;20;id075;_20190917
A12;F;forest;2018;20;id076;_20190917
H5;F;forest;2018;20;id076;_20190917
22_S22;M;forest;2018;20;id077;_20200127
